brandSlug,modelSlug,categoryPath,fuelTypes,level,action
mercedes-benz,g-580-eq,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mg,marvel-r,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mg,mg4,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
mg,mg5-electric,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
mg,zs-ev,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mini,aceman,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
mini,cooper-electric,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
mini,countryman-electric,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
nissan,ariya,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
nissan,leaf,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
nissan,townstar-ev,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
opel,astra-electric,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
opel,combo-electric,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
opel,corsa-electric,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
opel,frontera-electric,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
opel,mokka-electric,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
opel,vivaro-electric,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
peugeot,e-2008,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
peugeot,e-208,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
peugeot,e-3008,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
peugeot,e-5008,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
peugeot,e-expert,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
peugeot,e-partner,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
peugeot,e-rifter,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
polestar,2,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
polestar,3,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
polestar,4,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
