electricVehicleType,brand,series,modelVariant,canonicalCategory,canonicalSubcategory,canonicalBrandId,canonicalSeriesId,canonicalVariantId,canonicalExists,fuelType,action,source,confidence
elektrikli-suv-pickup,Jaguar,I-Pace,I-Pace,arac/arazi-suv-pickup,,cmshvhmv80007uza854dw37jb,cmsi384qt01dsuzbgjeo7c2ml,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Jeep,Avenger Electric,Avenger Electric,arac/arazi-suv-pickup,,cmshtjhvv000huz6s7vr8uq2r,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Kia,EV3,EV3,arac/arazi-suv-pickup,,cmshtjhvn000guz6s0ro7biaf,cmsi384ub01eeuzbgs986botl,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Kia,EV5,EV5,arac/arazi-suv-pickup,,cmshtjhvn000guz6s0ro7biaf,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Kia,EV6,Light | Air | GT-Line | GT,arac/arazi-suv-pickup,,cmshtjhvn000guz6s0ro7biaf,cmsi384ui01eguzbg2l6afbtl,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Kia,EV9,EV9,arac/arazi-suv-pickup,,cmshtjhvn000guz6s0ro7biaf,cmsi384ur01eiuzbg1yyuc994,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Kia,Niro EV,Niro EV,arac/arazi-suv-pickup,,cmshtjhvn000guz6s0ro7biaf,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Leapmotor,C10,C10,arac/arazi-suv-pickup,,cmsi37x0h000ouzbgjrxrfuee,cmsi381ja00p4uzbgie39rbzx,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,medium
elektrikli-suv-pickup,Leapmotor,C11,C11,arac/arazi-suv-pickup,,cmsi37x0h000ouzbgjrxrfuee,cmsi381ji00p6uzbgzllqbwrf,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,medium
elektrikli-otomobil,Leapmotor,T03,T03,arac/otomobil,,cmsi37x0h000ouzbgjrxrfuee,cmsi381jq00p8uzbg1ejlgnxk,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,medium
