oldSlug,oldPath,oldCategoryId,targetCategoryId,targetPath,redirectType,reason,preserveSeo,active,notes
sifir-urun-ev-dekorasyon__dekoratif,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/dekoratif,cmsg3xi9k00enuzdc5ikopwip,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-dekorasyon__mutfak-gerecleri,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/mutfak-gerecleri,cmsg3xi9v00epuzdc8gn4b9jg,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-dekorasyon__banyo,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/banyo,cmsg3xia700eruzdcy6di2hub,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-dekorasyon__perde,sifir-urun/ev-ve-yasam/ev-dekorasyon-mobilya/ev-dekorasyon/perde,cmsg3xiat00evuzdcfoa0iohd,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-spor-outdoor__fitness,sifir-urun/spor-outdoor/spor-urunleri/spor-outdoor/fitness,cmsg3xiii00gjuzdc154c9rvm,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-spor-outdoor__kamp-outdoor,sifir-urun/spor-outdoor/spor-urunleri/spor-outdoor/kamp-outdoor,cmsg3xij600gnuzdc31ls39f2,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-spor-outdoor__yuruyus-kosu,sifir-urun/spor-outdoor/spor-urunleri/spor-outdoor/yuruyus-kosu,cmsg3xijd00gpuzdc97wucurg,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-spor-outdoor__raket-sporlari,sifir-urun/spor-outdoor/spor-urunleri/spor-outdoor/raket-sporlari,cmsg3xik000gvuzdc7lrq1uge,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-spor-outdoor__kis-sporlari,sifir-urun/spor-outdoor/spor-urunleri/spor-outdoor/kis-sporlari,cmsg3xikg00gzuzdcp7yjr242,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-hobi-oyuncak__lego-yapboz,sifir-urun/sifir-urun-hobi-oyuncak/lego-yapboz,cmsg3xind00hluzdcp0zt0e1x,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-hobi-oyuncak__modelcilik,sifir-urun/sifir-urun-hobi-oyuncak/modelcilik,cmsg3xinl00hnuzdcw45go9ys,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-hobi-oyuncak__koleksiyon-figur,sifir-urun/sifir-urun-hobi-oyuncak/koleksiyon-figur,cmsg3xint00hpuzdc2gnpn0a9,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-hobi-oyuncak__pelus,sifir-urun/sifir-urun-hobi-oyuncak/pelus,cmsg3xioe00htuzdcdxytvp0z,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-hobi-oyuncak__board-game,sifir-urun/sifir-urun-hobi-oyuncak/board-game,cmsg3xiol00hvuzdc1qili42a,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-hobi-oyuncak__hobi-malzeme,sifir-urun/sifir-urun-hobi-oyuncak/hobi-malzeme,cmsg3xiou00hxuzdcultde43w,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-hobi-oyuncak__diger-hobi,sifir-urun/sifir-urun-hobi-oyuncak/diger-hobi,cmsg3xip200hzuzdcwrshzgvc,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
